lang,very_active_wikipedians,active_wikipedians,other_contributors,admins,articles,redirects,edits_per_month,new_articles,fa_articles,new_fa_articles
fiwiki,123,623,1358,43,657147,92928,119979,5894,252,5              
cswiki,137,617,1418,28,409921,126871,118620,5808,112,1
idwiki,55,403,1218,15,609520,40691,89243,12035,152,5
thwiki,49,279,708,16,232928,56313,58642,4331,87,1
arwiki,94,542,1999,23,858883,16636,154157,14316,157,6
kowiki,161,799,1357,19,495660,50200,157280,11515,69,1
hewiki,223,916,1500,37,472983,29689,178339,6288,667,7
nowiki,114,507,1612,61,621313,143977,126486,8496,209,0
huwiki,155,652,1351,38,602885,56728,145711,7242,642,7
viwiki,56,314,1009,16,700093,52128,90739,6656,193,3
ukwiki,175,643,1034,22,794517,153260,188685,13594,107,15
dawiki,55,299,997,27,322437,89826,106800,3497,24,1
fawiki,107,628,1427,18,572514,70047,159237,19450,54,2
rowiki,55,339,907,19,530043,189652,79135,5762,142,2
cawiki,91,366,928,18,597921,231568,140786,5653,421,7
bgwiki,55,270,651,20,248009,16596,60335,2653,99,2
hrwiki,27,179,455,18,202989,21756,36382,1962,314,1
elwiki,60,247,496,11,145258,16252,46803,1930,101,2
skwiki,36,159,439,10,251373,36975,66150,1688,68,0
srwiki,54,200,500,19,446662,6801,88725,3804,72,2
ltwiki,29,120,378,10,239407,59454,46069,2464,459,4
slwiki,19,113,339,18,208852,38948,40786,1407,241,2
etwiki,45,124,323,24,180076,35735,44450,2830,2,0
mswiki,22,97,260,12,233376,19511,42360,1738,73,1
dewiki,1431,7539,16273,267,2807029,786324,1065775,39733,1979,10
eswiki,674,4254,11029,98,2773337,654910,922320,42616,998,9
frwiki,995,5063,11134,175,3339207,1239510,1070755,39113,899,10
itwiki,556,2900,5603,103,2263750,357448,731018,33242,524,1
jawiki,417,3872,8413,58,1609926,435949,400329,15592,87,0
nlwiki,309,1506,3552,63,1498749,261984,327166,14424,225,0
plwiki,369,1650,3551,125,1324513,175584,364166,24811,497,7
ptwiki,291,1635,4032,33,2174712,509853,363915,19053,399,15
ruwiki,879,4267,7233,88,1854624,721571,783563,47767,439,7
zhwiki,351,1900,4109,60,924729,350002,313183,17089,179,3
svwiki,211,852,2162,88,1008353,189177,193270,10164,261,4
trwiki,90,514,1806,16,750299,92479,142661,9653,129,5
enwiki,4636,36895,108618,1089,19065310,5482699,5020138,236214,3373,40
euwiki,31,87,233,9,191092,18436,55227,2259,226,5
glwiki,22,81,251,10,146965,16028,36176,1959,6,0
